Sample Number,DateTime GMT,Latitude,Longitude,Altitude_mASL,NumSats,GPSLevel,RC Connected,Fix,OffsetSeconds,DateTime UTC,RecordType,TickNo,DateRaw,TimeRaw,hDOP,pDOP,hAcc,sAcc,VelN_mps,VelE_mps,VelD_mps,Source
9915479,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,16525,<nil>,32768,9915479,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,v3
19868044,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,33113,<nil>,20313,19868044,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,v3
65642709,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,109404,<nil>,1712,65642709,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,v3
65748852,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,109581,<nil>,20300,65748852,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,v3
66394776,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,110657,<nil>,20312,66394776,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,v3
66501552,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,110835,<nil>,20324,66501552,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,v3
66624276,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,111040,<nil>,20312,66624276,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,v3
67269850,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,112116,<nil>,20300,67269850,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,v3
67375879,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,112293,<nil>,20301,67375879,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,v3
67483790,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,112472,<nil>,20312,67483790,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,v3
67633104,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,112721,<nil>,2048,67633104,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,v3
67751347,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,112918,<nil>,20300,67751347,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,v3
67855395,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,113092,<nil>,20313,67855395,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,v3
67970343,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,113283,<nil>,2064,67970343,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,v3
68072852,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,113454,<nil>,1711,68072852,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,v3
68179202,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,113632,<nil>,20301,68179202,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,v3
68290267,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,113817,<nil>,20325,68290267,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,v3
68397277,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,113995,<nil>,20312,68397277,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,v3
68512758,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,114187,<nil>,1001,68512758,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,v3
68612585,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,114354,<nil>,1711,68612585,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,v3
68707774,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,114512,<nil>,20312,68707774,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,v3
68811477,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,114685,<nil>,20301,68811477,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,v3
68917376,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,114862,<nil>,20313,68917376,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,v3
69031547,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,115052,<nil>,20300,69031547,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,v3
69133310,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,115222,<nil>,20313,69133310,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,v3
69235983,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,115393,<nil>,2089,69235983,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,v3
69328062,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,115546,<nil>,20341,69328062,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,v3
69441106,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,115735,<nil>,20300,69441106,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,v3
69547013,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,115911,<nil>,20312,69547013,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,v3
69651580,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,116085,<nil>,20325,69651580,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,v3
69752788,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,116254,<nil>,20325,69752788,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,v3
69857355,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,116428,<nil>,20300,69857355,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,v3
69974353,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,116623,<nil>,20300,69974353,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,v3
70327238,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,117212,<nil>,20324,70327238,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,v3
70431287,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,117385,<nil>,20312,70431287,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,v3
70546301,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,117577,<nil>,20313,70546301,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,v3
70649676,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,117749,<nil>,20301,70649676,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,v3
70755280,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,117925,<nil>,20312,70755280,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,v3
70861039,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,118101,<nil>,20312,70861039,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,v3
70964530,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,118274,<nil>,20312,70964530,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,v3
71075270,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,118458,<nil>,10086,71075270,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,v3
71178045,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,118630,<nil>,20300,71178045,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,v3
71279844,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,118799,<nil>,20313,71279844,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,v3
71390696,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,118984,<nil>,202,71390696,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,v3
71489527,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,119149,<nil>,2144,71489527,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,v3
71578082,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,119296,<nil>,20341,71578082,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,v3
71695711,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,119492,<nil>,20312,71695711,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,v3
71794971,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,119658,<nil>,20301,71794971,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,v3
71907098,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,119845,<nil>,20300,71907098,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,v3
72006464,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,120010,<nil>,20301,72006464,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,v3
72105643,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,120176,<nil>,20313,72105643,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,v3
72206910,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,120344,<nil>,20313,72206910,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,v3
72312631,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,120521,<nil>,20313,72312631,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,v3
