Sample Number,DateTime GMT,Latitude,Longitude,Altitude_mASL,NumSats,GPSLevel,RC Connected,Fix,OffsetSeconds,DateTime UTC,OsdGeneralData:Yaw,OsdGeneralData:Pitch,OsdGeneralData:Roll,MrController:MotorState,MrController:TempLevel
0,2025-12-10 09:41:59,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,0,2025-12-10T09:41:59Z,<nil>,<nil>,<nil>,<nil>,<nil>
707,2025-12-10 09:41:59,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,0,2025-12-10T09:41:59Z,<nil>,<nil>,<nil>,<nil>,<nil>
901,2025-12-10 09:41:59,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,0,2025-12-10T09:41:59Z,<nil>,<nil>,<nil>,<nil>,<nil>
1087,2025-12-10 09:41:59,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,0,2025-12-10T09:41:59Z,<nil>,<nil>,<nil>,<nil>,<nil>
1427,2025-12-10 09:41:59,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,0,2025-12-10T09:41:59Z,<nil>,<nil>,<nil>,<nil>,<nil>
1604,2025-12-10 09:41:59,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,0,2025-12-10T09:41:59Z,<nil>,<nil>,<nil>,<nil>,<nil>
1917,2025-12-10 09:41:59,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,0,2025-12-10T09:41:59Z,<nil>,<nil>,<nil>,<nil>,<nil>
2163,2025-12-10 09:41:59,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,0,2025-12-10T09:41:59Z,<nil>,<nil>,<nil>,<nil>,<nil>
2379,2025-12-10 09:41:59,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,0,2025-12-10T09:41:59Z,<nil>,<nil>,<nil>,<nil>,<nil>
2636,2025-12-10 09:41:59,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,0,2025-12-10T09:41:59Z,<nil>,<nil>,<nil>,<nil>,<nil>
2891,2025-12-10 09:41:59,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,0,2025-12-10T09:41:59Z,<nil>,<nil>,<nil>,<nil>,<nil>
3659,2025-12-10 09:41:59,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,0,2025-12-10T09:41:59Z,<nil>,<nil>,<nil>,<nil>,<nil>
4033,2025-12-10 09:41:59,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,0,2025-12-10T09:41:59Z,<nil>,<nil>,<nil>,<nil>,<nil>
4156,2025-12-10 09:41:59,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,0,2025-12-10T09:41:59Z,<nil>,<nil>,<nil>,<nil>,<nil>
4265,2025-12-10 09:41:59,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,0,2025-12-10T09:41:59Z,<nil>,<nil>,<nil>,<nil>,<nil>
4373,2025-12-10 09:41:59,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,0,2025-12-10T09:41:59Z,<nil>,<nil>,<nil>,<nil>,<nil>
4488,2025-12-10 09:41:59,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,0,2025-12-10T09:41:59Z,<nil>,<nil>,<nil>,<nil>,<nil>
4585,2025-12-10 09:41:59,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,0,2025-12-10T09:41:59Z,<nil>,<nil>,<nil>,<nil>,<nil>
4681,2025-12-10 09:41:59,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,0,2025-12-10T09:41:59Z,<nil>,<nil>,<nil>,<nil>,<nil>
4893,2025-12-10 09:41:59,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,0,2025-12-10T09:41:59Z,<nil>,<nil>,<nil>,<nil>,<nil>
4973,2025-12-10 09:41:59,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,0,2025-12-10T09:41:59Z,<nil>,<nil>,<nil>,<nil>,<nil>
5250,2025-12-10 09:41:59,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,0,2025-12-10T09:41:59Z,<nil>,<nil>,<nil>,<nil>,<nil>
5400958,2025-12-10 09:42:00,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,1,2025-12-10T09:42:00Z,<nil>,<nil>,<nil>,<nil>,<nil>
9530281,2025-12-10 09:42:01,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,2,2025-12-10T09:42:01Z,<nil>,<nil>,<nil>,<nil>,<nil>
9597201,2025-12-10 09:42:01,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,2,2025-12-10T09:42:01Z,<nil>,<nil>,<nil>,<nil>,<nil>
9597440,2025-12-10 09:42:01,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,2,2025-12-10T09:42:01Z,<nil>,<nil>,<nil>,<nil>,<nil>
9732250,2025-12-10 09:42:01,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,2,2025-12-10T09:42:01Z,<nil>,<nil>,<nil>,<nil>,<nil>
9732441,2025-12-10 09:42:01,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,2,2025-12-10T09:42:01Z,<nil>,<nil>,<nil>,<nil>,<nil>
9732625,2025-12-10 09:42:01,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,2,2025-12-10T09:42:01Z,<nil>,<nil>,<nil>,<nil>,<nil>
9732799,2025-12-10 09:42:01,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,2,2025-12-10T09:42:01Z,<nil>,<nil>,<nil>,<nil>,<nil>
9733038,2025-12-10 09:42:01,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,2,2025-12-10T09:42:01Z,<nil>,<nil>,<nil>,<nil>,<nil>
9733246,2025-12-10 09:42:01,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,2,2025-12-10T09:42:01Z,<nil>,<nil>,<nil>,<nil>,<nil>
9733642,2025-12-10 09:42:01,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,2,2025-12-10T09:42:01Z,<nil>,<nil>,<nil>,<nil>,<nil>
9733878,2025-12-10 09:42:01,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,2,2025-12-10T09:42:01Z,<nil>,<nil>,<nil>,<nil>,<nil>
